id,user_id,number_of_friends,percentage_overlap,network_type,created_at,updated_at,data_size,total_size,percentage_overlap_data_size
103,284,8,0.352089136,olin,14:40.7,18:42.5,56715804,359940380,0.157569995
203,233,22,0.358108108,olin,20:00.4,18:42.8,28911711,468532270,0.061706979
204,233,23,0.358285917,olin,20:05.6,18:42.8,28911711,468532270,0.061706979
104,284,9,0.370194986,olin,14:43.6,18:43.5,62697729,359940380,0.174189206
209,233,28,0.371443812,olin,20:22.6,18:43.5,28963494,468532270,0.061817501
109,284,14,0.375487465,olin,14:55.5,18:43.9,64240198,359940380,0.178474552
112,284,17,0.375766017,olin,15:00.7,18:44.0,64240198,359940380,0.178474552
114,284,19,0.389693593,olin,15:03.0,18:44.8,67164361,359940380,0.186598572
111,284,16,0.375487465,olin,14:59.4,18:43.9,64240198,359940380,0.178474552
115,284,20,0.391364903,olin,15:04.4,18:44.9,67164361,359940380,0.186598572
116,284,21,0.394150418,olin,15:05.9,18:45.1,67483604,359940380,0.187485505
118,284,23,0.395264624,olin,15:08.6,18:45.2,67487802,359940380,0.187497168
119,284,24,0.396935933,olin,15:13.1,18:45.3,67496437,359940380,0.187521158
122,284,27,0.397214485,olin,15:18.1,18:45.3,67496437,359940380,0.187521158
215,233,34,0.411628734,olin,20:41.2,18:45.9,29425405,468532270,0.062803369
121,284,26,0.397214485,olin,15:16.4,18:45.3,67496437,359940380,0.187521158
123,284,28,0.413649025,olin,15:27.9,18:46.0,69419749,359940380,0.192864577
125,284,30,0.418662953,olin,15:31.5,18:46.3,69785867,359940380,0.19388174
126,284,31,0.420612813,olin,15:34.0,18:46.3,69796392,359940380,0.19391098
223,233,42,0.428698435,olin,21:08.7,18:46.7,31818347,468532270,0.067910684
129,284,34,0.440111421,olin,15:40.6,18:47.1,69903538,359940380,0.194208658
131,284,36,0.440668524,olin,15:44.8,18:47.1,69903538,359940380,0.194208658
133,284,38,0.440947075,olin,15:49.9,18:47.1,69903538,359940380,0.194208658
232,233,51,0.440967283,olin,21:45.9,18:47.1,35327800,468532270,0.075400996
134,284,39,0.440947075,olin,15:52.7,18:47.1,69903538,359940380,0.194208658
132,284,37,0.440947075,olin,15:46.8,18:47.1,69903538,359940380,0.194208658
135,284,40,0.441504178,olin,15:55.8,18:47.1,70575600,359940380,0.196075806
139,284,44,0.442061281,olin,16:08.4,18:47.2,71933436,359940380,0.199848197
140,284,45,0.442618384,olin,16:11.4,18:47.2,71933436,359940380,0.199848197
142,284,47,0.442896936,olin,16:17.9,18:47.2,71933436,359940380,0.199848197
143,284,48,0.443732591,olin,16:20.4,18:47.2,71933436,359940380,0.199848197
141,284,46,0.442896936,olin,16:14.8,18:47.2,71933436,359940380,0.199848197
144,284,49,0.443732591,olin,16:22.9,18:47.2,71933436,359940380,0.199848197
146,284,51,0.446239554,olin,16:29.7,18:47.3,71939950,359940380,0.199866295
148,284,53,0.44735376,olin,16:39.1,18:47.3,75593951,359940380,0.210017979
149,284,54,0.447632312,olin,16:42.5,18:47.3,75597824,359940380,0.210028739
150,284,55,0.447632312,olin,16:46.1,18:47.3,75597824,359940380,0.210028739
152,284,57,0.448189415,olin,16:54.8,18:47.3,75597824,359940380,0.210028739
151,284,56,0.448189415,olin,16:51.2,18:47.3,75597824,359940380,0.210028739
155,284,60,0.458495822,olin,17:07.6,18:47.9,84275139,359940380,0.234136384
154,284,59,0.448467967,olin,17:04.1,18:47.4,75597824,359940380,0.210028739
156,284,61,0.459888579,olin,17:11.5,18:48.0,84288120,359940380,0.234172448
158,284,63,0.460724234,olin,17:19.0,18:48.0,84288120,359940380,0.234172448
161,284,66,0.465181058,olin,17:29.3,18:48.3,84366469,359940380,0.23439012
160,284,65,0.465181058,olin,17:26.1,18:48.3,84366469,359940380,0.23439012
163,284,68,0.467130919,olin,17:39.7,18:48.4,84394489,359940380,0.234467967
159,284,64,0.465181058,olin,17:22.7,18:48.3,84366469,359940380,0.23439012
164,284,69,0.467130919,olin,17:43.3,18:48.4,84394489,359940380,0.234467967
165,284,70,0.467130919,olin,17:49.8,18:48.4,84394489,359940380,0.234467967
166,284,71,0.467130919,olin,17:54.3,18:48.4,84394489,359940380,0.234467967
168,284,73,0.467409471,olin,18:03.4,18:48.4,84394489,359940380,0.234467967
169,284,74,0.467409471,olin,18:07.0,18:48.4,84394489,359940380,0.234467967
170,284,75,0.467409471,olin,18:12.5,18:48.4,84394489,359940380,0.234467967
173,284,78,0.467688022,olin,18:30.6,18:48.4,84394489,359940380,0.234467967
180,284,85,0.467688022,olin,19:10.2,18:48.4,84394489,359940380,0.234467967
176,284,81,0.467688022,olin,18:50.5,18:48.4,84394489,359940380,0.234467967
175,284,80,0.467688022,olin,18:45.4,18:48.4,84394489,359940380,0.234467967
172,284,77,0.467688022,olin,18:20.8,18:48.4,84394489,359940380,0.234467967
174,284,79,0.467688022,olin,18:40.4,18:48.4,84394489,359940380,0.234467967
178,284,83,0.467688022,olin,19:00.1,18:48.4,84394489,359940380,0.234467967
181,284,86,0.468245125,olin,19:14.6,18:48.5,84401106,359940380,0.23448635
183,233,2,0.130512091,olin,19:26.7,18:30.0,13150986,468532270,0.028068474
184,233,3,0.25,olin,19:28.0,18:36.0,22727596,468532270,0.04850807
186,233,5,0.296052632,olin,19:30.3,18:38.9,28223943,468532270,0.060239059
188,233,7,0.299253201,olin,19:33.0,18:39.1,28260942,468532270,0.060318027
189,233,8,0.299964438,olin,19:34.0,18:39.1,28265140,468532270,0.060326987
191,233,10,0.304231863,olin,19:36.3,18:39.4,28284747,468532270,0.060368834
192,233,11,0.305476529,olin,19:37.6,18:39.5,28284747,468532270,0.060368834
193,233,12,0.307788051,olin,19:39.0,18:39.8,28291229,468532270,0.060382669
194,233,13,0.317211949,olin,19:41.1,18:40.4,28291229,468532270,0.060382669
195,233,14,0.320590327,olin,19:42.9,18:40.7,28322031,468532270,0.060448411
199,233,18,0.322901849,olin,19:50.8,18:40.9,28347271,468532270,0.060502281
196,233,15,0.323079659,olin,19:44.7,18:40.9,28346450,468532270,0.060500529
102,284,7,0.350417827,olin,14:40.2,18:42.5,56705032,359940380,0.157540068
202,233,21,0.358108108,olin,19:56.9,18:42.8,28911711,468532270,0.061706979
205,233,24,0.359530583,olin,20:08.2,18:42.9,28916261,468532270,0.06171669
105,284,10,0.370194986,olin,14:47.3,18:43.5,62697729,359940380,0.174189206
207,233,26,0.370376956,olin,20:16.9,18:43.5,28963494,468532270,0.061817501
206,233,25,0.370376956,olin,20:11.0,18:43.5,28963494,468532270,0.061817501
108,284,13,0.374930362,olin,14:54.7,18:43.9,62744010,359940380,0.174317786
124,284,29,0.41448468,olin,15:29.9,18:46.0,69419749,359940380,0.192864577
130,284,35,0.440389972,olin,15:42.7,18:47.1,69903538,359940380,0.194208658
138,284,43,0.44178273,olin,16:06.1,18:47.1,70575600,359940380,0.196075806
289,238,5,0.18178934,olin,28:52.9,18:32.0,29436068,273512330,0.107622453
290,238,6,0.182582487,olin,28:54.8,18:32.1,29441326,273512330,0.107641677
197,233,16,0.323257468,olin,19:46.7,18:41.0,28347271,468532270,0.060502281
291,238,7,0.342005076,olin,28:56.8,18:42.0,52899044,273512330,0.193406433
292,238,8,0.344860406,olin,28:58.4,18:42.4,52929959,273512330,0.193519462
293,238,9,0.346763959,olin,29:00.6,18:42.4,52951152,273512330,0.193596947
294,238,10,0.348508883,olin,29:02.2,18:42.5,52991340,273512330,0.19374388
210,233,29,0.371621622,olin,20:25.6,18:43.5,28963494,468532270,0.061817501
211,233,30,0.373399716,olin,20:28.8,18:43.7,28982325,468532270,0.061857692
212,233,31,0.374110953,olin,20:31.7,18:43.8,28993896,468532270,0.061882389
296,238,12,0.396573604,olin,29:06.8,18:45.3,65093884,273512330,0.237992503
297,238,13,0.396732234,olin,29:08.5,18:45.3,65097629,273512330,0.238006195
300,238,16,0.399111675,olin,29:14.4,18:45.4,65717008,273512330,0.240270733
301,238,17,0.399746193,olin,29:16.6,18:45.4,65727212,273512330,0.24030804
303,238,19,0.401967005,olin,29:28.7,18:45.6,65733973,273512330,0.240332759
304,238,20,0.402918782,olin,29:31.0,18:45.7,66358462,273512330,0.24261598
305,238,21,0.403711929,olin,29:33.4,18:45.7,66370321,273512330,0.242659338
306,238,22,0.404029188,olin,29:36.7,18:45.7,66377777,273512330,0.242686598
307,238,23,0.404187817,olin,29:39.9,18:45.7,66377777,273512330,0.242686598
308,238,24,0.409581218,olin,29:42.8,18:45.9,68936230,273512330,0.252040667
214,233,33,0.411628734,olin,20:37.7,18:45.9,29425405,468532270,0.062803369
310,238,26,0.423699239,olin,29:50.4,18:46.5,69082346,273512330,0.252574888
311,238,27,0.423699239,olin,29:53.9,18:46.5,69082346,273512330,0.252574888
312,238,28,0.423699239,olin,29:58.1,18:46.5,69082346,273512330,0.252574888
313,238,29,0.423857868,olin,30:02.0,18:46.5,69082346,273512330,0.252574888
314,238,30,0.423857868,olin,30:06.4,18:46.5,69082346,273512330,0.252574888
218,233,37,0.426386913,olin,20:50.6,18:46.6,29520593,468532270,0.063006531
221,233,40,0.426742532,olin,21:01.4,18:46.6,31797669,468532270,0.067866551
